"Company","Title","Location","URL","Source","Status","Notes","ApplicationStatus","Confidence","TrackerFirstSeenBasis"
"Bank of America","Global Risk Summer 2027 Analyst","Charlotte, NC; New York; additional locations","https://careers.bankofamerica.com/en-us/students/job-detail/14334/-global-risk-summer-2027-analyst-multiple-locations","Official careers page","Confirmed official posting","Official Bank of America student posting; 10-week Global Risk Development Summer Analyst Program.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"BlackRock","2027 Summer Internship Program - AMERS","Multiple Americas offices","https://careers.blackrock.com/job/new-york/2027-summer-internship-program-amers/45831/90628276544","Official careers page","Official broad program; select quant-relevant functions in application","Official page says applications are open and candidates can apply to functions such as Investment Research and Analytics & Modeling.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Blackstone","Summer Internship Program","Varies by group/location","https://www.blackstone.com/careers/students/","Official internship page","Official program page; check open positions","Official Blackstone students page describes Summer Analyst and Associate internship timelines and applications.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Quantitative Research Analyst Intern - BS/MS (US)","Greenwich, Miami, New York","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Software Engineer - Intern (Asia)","Singapore","https://www.citadel.com/careers/details/software-engineer-intern-asia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Software Engineer - Intern (Australia)","Brisbane","https://www.citadel.com/careers/details/software-engineer-intern-australia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel","Software Engineer - Intern (Europe)","London","https://www.citadel.com/careers/details/software-engineer-intern-europe/","Official careers page","Confirmed official posting","internship timing not stated in title","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","FPGA Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/fpga-engineer-intern-australia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-australia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Quantitative Trading - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-australia/","Official careers page","Confirmed official posting","internship timing not stated in title","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Software Engineer - Intern (Asia)","Hong Kong, Singapore","https://www.citadelsecurities.com/careers/details/software-engineer-intern-asia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Software Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/software-engineer-intern-australia/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citadel Securities","Software Engineer - Intern (Europe)","London","https://www.citadelsecurities.com/careers/details/software-engineer-intern-europe/","Official careers page","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Citi","Markets - Sales and Trading, Summer Analyst, New York City - US, 2027","New York, NY","https://jobs.citi.com/job/new-york/markets-sales-and-trading-summer-analyst-new-york-city-us-2027/287/89809477504","Official careers page","Confirmed official posting","Official Citi careers page for 2027 Markets summer analyst role.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Connor Clark & Lunn","Intern, Investment Analytics Engagement","Vancouver, British Columbia, Canada","https://job-boards.greenhouse.io/cclfg/jobs/4305727009","Career page Greenhouse:cclfg","Confirmed official posting","career_page=https://job-boards.greenhouse.io/cclfg | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4305727009 | internship timing not stated in title | Interested in joining one of Canada’s top performing asset managers? CC&L Financial Group is looking for an Intern, Investment Analytics Engagement (“IAE”) to join our Investment Analytics Team for a 4-month term ( September - December 2026). A dynamic, fast-paced work environment where opportunities for learning and growth are abound . Collaborate with three distinct teams of open-minded and forwarding looking professionals in the Investment Analytics space. You will have the ability to experience first-hand how investment analytics adds value across the Asset Management value chain and make an impact at CC&L through your expertise and analysis in business management. What You Will Do You will have the opportunity to work o...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Connor Clark & Lunn","Intern, Investment Data Management","Toronto, Ontario, Canada","https://job-boards.greenhouse.io/cclfg/jobs/4252160009","Career page Greenhouse:cclfg","Confirmed official posting","career_page=https://job-boards.greenhouse.io/cclfg | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4252160009 | internship timing not stated in title | Our Toronto-based Investment Data Management team is seeking to hire an Intern for September to December 2026. The Investment Data Management Team (IDM) resides within the middle office and is responsible for managing data-centric processes and data quality that support the investment management business. Connor, Clark & Lunn Financial Group Ltd. (CCLFG) manages a wide range of global assets and heavily relies on the output of the team for a variety of functions from the front office to the back office. This is a fantastic opportunity to be part of a dynamic, strategic team whose scope and importance continue to grow enterprise wide. We place a high value on maintaining an entrepreneurial spirit and creating a culture where ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Connor Clark & Lunn","Intern, Portfolio Compliance","Gurugram, Haryana, India","https://job-boards.greenhouse.io/cclfg/jobs/4233121009","Career page Greenhouse:cclfg","Confirmed official posting","career_page=https://job-boards.greenhouse.io/cclfg | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4233121009 | internship timing not stated in title | We are looking for an Intern to join our Portfolio Compliance Team at Connor, Clark & Lunn Financial Group in Gurugram, India. Compliance plays a critical role in the investment process and in this position, you will have the opportunity to work alongside our institutional portfolio managers and affiliate compliance officers. The role of compliance continues to evolve in complexity and importance. This is a fantastic opportunity to be part of a growing team whose scope and visibility continues to increase! What You Will Do: Using Charles River to monitor post-trade compliance rules across all asset classes and security types. These compliance rules are derived from client mandates, global regulations, industry best practices...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Connor Clark & Lunn","Quantitative Equity Research, Intern","Vancouver, British Columbia, Canada","https://job-boards.greenhouse.io/cclim/jobs/4223842009","Career page Greenhouse:cclim","Confirmed official posting","career_page=https://job-boards.greenhouse.io/cclim | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4223842009 | internship timing not stated in title | We are looking for a Quantitative Research Intern to join our fast-paced and entrepreneurial Quantitative Equity team for 4-8 months starting in September 2026 or January 2027 ! We are a high-performance team embedded in a top-performing quant fund that manages over $75 billion in financial assets. We combine leading edge quantitative research with state-of-the-art technology to develop our unique algorithmic investment strategies. A culture of innovation, growth and success through collaboration has enabled us to deliver top tier performance for over two decades. What You Will Do As an intern on the quantitative research team, you will help tackle a broad array of challenges at the Intersection of finance, data science, and...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"DE Shaw","Proprietary Trading Intern (New York) - Summer 2027","New York","https://www.deshaw.com/careers/Proprietary-Trading-Intern-New-York-Summer-2027-5731","Official careers page","Confirmed official posting","internship timing: Summer 2027","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"DV Trading","2027 Summer Internship - Trading (DV Equities)","Hong Kong","https://job-boards.greenhouse.io/dvtrading/jobs/4691295005","Greenhouse:dvtrading","Confirmed official posting","internship timing: 2027 Summer; graduation eligibility mentions: 2027; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Engineers Gate","Quantitative Research Intern","Hong Kong","https://job-boards.greenhouse.io/engineersgate/jobs/7946542","Greenhouse:engineersgate","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Flow Traders","Quantitative Trading Intern Summer 2027","New York","https://job-boards.greenhouse.io/flowtraders/jobs/8047166","Career page Greenhouse:flowtraders","Confirmed official posting","career_page=https://www.flowtraders.com/careers | company_wrapper=https://www.flowtraders.com/job?gh_jid=8047166 | internship timing: Summer 2027; graduation eligibility mentions: 2028 | Flow Traders is looking for entrepreneurial, competitive, and analytical students to join our New York Trading team as a Trading Intern for Summer 2027. Spend your summer experiencing what it’s like to be a Trader in the financial capital of the world! The trading internship will take place over nine weeks in our New York office, beginning in early June through early August. During the program, you will have the opportunity to explore your interest in trading, while being fully immersed in the excitement on our Trading floor. As an intern, you will get a 360-degree view of Flow Traders’ role in the financial markets, how our Traders seize arbitrage opportunities, and how they work together as a team to o...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Flow Traders","Trading Intern","Hong Kong","https://job-boards.greenhouse.io/flowtraders/jobs/7100637","Career page Greenhouse:flowtraders","Confirmed official posting","career_page=https://www.flowtraders.com/careers | company_wrapper=https://www.flowtraders.com/job?gh_jid=7100637 | internship timing not stated in title; graduation eligibility mentions: 2026, 2027 | Flow Traders is looking for entrepreneurial, competitive, and analytical students to join our Trading department as an Intern. What better way to find out if a career in Trading is something for you, than by experiencing it yourself as a Trading Intern! You will get a 360-degree view of our role in the financial markets, how our Traders seize opportunities, and how they work together as a team to optimize and improve their trading desk. This Trading internship is about immersing yourself in the financial markets and experiencing trading up close. You do not need to have a financial background; we will teach you all you need to know. Experience with a scientific programming language or excel ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"General Atlantic","2027 Investment Intern, Munich Q1 - Q4","Germany","https://job-boards.greenhouse.io/generalatlantic/jobs/6100666004","Career page Greenhouse:generalatlantic","Confirmed official posting","career_page=https://www.generalatlantic.com/careers/ | company_wrapper=https://www.generalatlantic.com/careers/job?gh_jid=6100666004 | internship timing not stated in title | About General Atlantic General Atlantic is a leading global investor with more than four and a half decades of experience providing capital and strategic support for over 830 companies throughout its history. Established in 1980, General Atlantic continues to be a dedicated partner to visionary founders and investors seeking to build dynamic businesses and create long term value. Guided by the conviction that entrepreneurs can be incredible agents of transformational change, the firm combines a collaborative global approach, sector specific expertise, a long-term investment horizon, and a deep understanding of growth drivers to partner with and scale innovative businesses around the world. The firm leverages its pat...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Goldman Sachs","2027 | Americas | New York City Area | Wealth Management, Quantitative Finance | Summer Analyst","New York","https://higher.gs.com/roles/155800","Official careers page","Confirmed official posting","Official Goldman Sachs Higher role page; Summer Analyst program for bachelor's/graduate degree students.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Goldman Sachs","2027 | APEJ | Singapore | FICC and Equities (Sales and Trading) Quantitative Strats | Summer Analyst","Singapore","https://higher.gs.com/roles/170600","Official careers page","Confirmed official posting","Official Goldman Sachs Higher role page; quantitative strategists construct quantitative models for global markets.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Goldman Sachs","2027 Summer Analyst Program - Americas","Americas","https://www.goldmansachs.com/careers/students/programs-and-internships/americas/2027-summer-analyst-program","Official program page","Official broad program; select division/location in application","Official Goldman Sachs program page says applications are open for Summer 2027.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"GSA Capital Partners","Quantitative Researcher - Intern","London, New York","https://www.gsacapital.com/careers/gh/?gh_jid=8570661002","Greenhouse:gsacapital","Confirmed official posting","internship timing not stated in title","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"GSA Capital Partners","Software Developer - Intern","London","https://www.gsacapital.com/careers/gh/?gh_jid=8570668002","Greenhouse:gsacapital","Confirmed official posting","internship timing not stated in title","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Financial Markets","Hardware Engineer Intern - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4823945101","Greenhouse:imc","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Financial Markets","Machine Learning Research Intern - Summer 2027 - Chicago","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4907430101","Greenhouse:imc","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Financial Markets","Quantitative Research Intern (BS/MS) - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4907399101","Greenhouse:imc","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Financial Markets","Quantitative Trader Intern - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4823923101","Greenhouse:imc","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Financial Markets","Software Engineer Intern - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4823924101","Greenhouse:imc","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - FPGA Intern - IIT Bombay","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4860306101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4860306101 | internship timing not stated in title | FPGA ENGINEERING INTERN Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? If so, then join IMC as a Hardware Engineer Intern! At IMC, Hardware Engineers don’t just write code and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best technology is what drives our business. Hardware development here is innovative, pragmatic and fun, even as complexity grows. WHAT YOU...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - FPGA Intern - IIT Madras","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4918252101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4918252101 | internship timing not stated in title | FPGA ENGINEERING INTERN Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? If so, then join IMC as a Hardware Engineer Intern! At IMC, Hardware Engineers don’t just write code and design technology. They are responsible for spotting new opportunities, developing new technologies and solving problems. As a result, they deliver results and make a difference. IMC knows that having the best technology is what drives our business. Hardware development here is innovative, pragmatic and fun, even as complexity grows. WHAT YOU...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Quant Research Intern - IIT Bombay","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4860277101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4860277101 | internship timing not stated in title | Quant Research Intern ABOUT IMC: We’re a high-performance trading firm powered by technology, for those who want to be the best among the best. ABOUT THE ROLE: IMC is a leading global trading firm that combines technology, advanced quantitative research, and cutting-edge machine learning techniques to make markets more efficient. With a strong focus on innovation, we leverage mathematical models and high-performance computing to drive our trading decisions. As a Quant Research Intern, you’ll work at the intersection of data science, financial markets, and algorithmic trading solving real-world challenges that drive our trading strategies. This internship program offers a unique opportunity to gain hands-on experienc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Quant Research Intern - IIT Delhi","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917441101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917441101 | internship timing not stated in title | Quant Research Intern ABOUT IMC: We’re a high-performance trading firm powered by technology, for those who want to be the best among the best. ABOUT THE ROLE: IMC is a leading global trading firm that combines technology, advanced quantitative research, and cutting-edge machine learning techniques to make markets more efficient. With a strong focus on innovation, we leverage mathematical models and high-performance computing to drive our trading decisions. As a Quant Research Intern, you’ll work at the intersection of data science, financial markets, and algorithmic trading solving real-world challenges that drive our trading strategies. This internship program offers a unique opportunity to gain hands-on experienc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Quant Research Intern - IIT Kharagpur","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917442101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917442101 | internship timing not stated in title | Quant Research Intern ABOUT IMC: We’re a high-performance trading firm powered by technology, for those who want to be the best among the best. ABOUT THE ROLE: IMC is a leading global trading firm that combines technology, advanced quantitative research, and cutting-edge machine learning techniques to make markets more efficient. With a strong focus on innovation, we leverage mathematical models and high-performance computing to drive our trading decisions. As a Quant Research Intern, you’ll work at the intersection of data science, financial markets, and algorithmic trading solving real-world challenges that drive our trading strategies. This internship program offers a unique opportunity to gain hands-on experienc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"IMC Trading","2027 - Quant Research Intern - IIT Madras","Amsterdam, Netherlands; Mumbai, India","https://job-boards.eu.greenhouse.io/imc/jobs/4917439101","Career page Greenhouse:imc","Confirmed official posting","career_page=https://job-boards.greenhouse.io/imc?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4917439101 | internship timing not stated in title | Quant Research Intern ABOUT IMC: We’re a high-performance trading firm powered by technology, for those who want to be the best among the best. ABOUT THE ROLE: IMC is a leading global trading firm that combines technology, advanced quantitative research, and cutting-edge machine learning techniques to make markets more efficient. With a strong focus on innovation, we leverage mathematical models and high-performance computing to drive our trading decisions. As a Quant Research Intern, you’ll work at the intersection of data science, financial markets, and algorithmic trading solving real-world challenges that drive our trading strategies. This internship program offers a unique opportunity to gain hands-on experienc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
